Supplementary Table 1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
ID,Alias,Group,Phenotyped,Genotyped,GWAS
P1_1,P1_1_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_2,P1_2_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_3,P1_3_Antoñeta x Marcona,Antoñeta_x_Marcona,X,X,X
P1_4,P1_4_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_5,P1_5_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_6,P1_6_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_7,P1_7_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_8,P1_8_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_9,P1_9_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_10,P1_10_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_11,P1_11_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_12,P1_12_Antoñeta x Marcona,Antoñeta_x_Marcona,X,X,X
P1_13,P1_13_Antoñeta x Marcona,Antoñeta_x_Marcona,X,X,X
P1_14,P1_14_Antoñeta x Marcona,Antoñeta_x_Marcona,X,X,X
P1_15,P1_15_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_16,P1_16_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_17,P1_17_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_18,P1_18_Antoñeta x Marcona,Antoñeta_x_Marcona,X,X,X
P1_19,P1_19_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_20,P1_20_Antoñeta x Marcona,Antoñeta_x_Marcona,X,X,X
P1_21,P1_21_Antoñeta x Marcona,Antoñeta_x_Marcona,X,X,X
P1_22,P1_22_Antoñeta x Marcona,Antoñeta_x_Marcona,X,X,X
P1_23,P1_23_Antoñeta x Marcona,Antoñeta_x_Marcona,X,X,X
P1_24,P1_24_Antoñeta x Marcona,Antoñeta_x_Marcona,X,X,X
P1_25,P1_25_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
P1_26,P1_26_Antoñeta x Marcona,Antoñeta_x_Marcona,X,,
