Supplementary Table 7,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,,,,,
##fileformat=VCFv4.0,,,,,,,
"##Tassel=<ID=GenotypeTable,Version=5,Description=""Reference allele is not known. The major allele was used as reference allele"">",,,,,,,
"##FORMAT=<ID=GT,Number=1,Type=String,Description=""Genotype"">",,,,,,,
"##FORMAT=<ID=AD,Number=.,Type=Integer,Description=""Allelic depths for the reference and alternate alleles in the order listed"">",,,,,,,
"##FORMAT=<ID=DP,Number=1,Type=Integer,Description=""Read Depth (only filtered reads used for calling)"">",,,,,,,
"##FORMAT=<ID=GQ,Number=1,Type=Float,Description=""Genotype Quality"">",,,,,,,
"##FORMAT=<ID=PL,Number=.,Type=Float,Description=""Normalized, Phred-scaled likelihoods for AA,AB,BB genotypes where A=ref and B=alt; not applicable if site is not biallelic"">",,,,,,,
"##INFO=<ID=NS,Number=1,Type=Integer,Description=""Number of Samples With Data"">",,,,,,,
"##INFO=<ID=DP,Number=1,Type=Integer,Description=""Total Depth"">",,,,,,,
"##INFO=<ID=AF,Number=.,Type=Float,Description=""Allele Frequency"">",,,,,,,
"##SnpEffVersion=""5.4c (build 2026-02-23 07:25), by Pablo Cingolani""",,,,,,,
"##SnpEffCmd=""SnpEff  -i vcf -o vcf -lof -csvStats snpeff_stats.csv -s snpeff_stats.html pduclsitexasv2 /data/dnb12/galaxy_db/files/2/2/f/dataset_22f41c3a-7538-4dc1-a73e-7cee3d697f8a.dat """,,,,,,,
"##INFO=<ID=ANN,Number=.,Type=String,Description=""Functional annotations: 'Allele | Annotation | Annotation_Impact | Gene_Name | Gene_ID | Feature_Type | Feature_ID | Transcript_BioType | Rank | HGVS.c | HGVS.p | cDNA.pos / cDNA.length | CDS.pos / CDS.length | AA.pos / AA.length | Distance | ERRORS / WARNINGS / INFO' "">",,,,,,,
"##INFO=<ID=LOF,Number=.,Type=String,Description=""Predicted loss of function effects for this variant. Format: 'Gene_Name | Gene_ID | Number_of_transcripts_in_gene | Percent_of_transcripts_affected'"">",,,,,,,
"##INFO=<ID=NMD,Number=.,Type=String,Description=""Predicted nonsense mediated decay effects for this variant. Format: 'Gene_Name | Gene_ID | Number_of_transcripts_in_gene | Percent_of_transcripts_affected'"">",,,,,,,
#CHROM,POS,ID,REF,ALT,QUAL,FILTER,INFO
